Cell_line,GENE,normZ,p-value,FDR,Treatment
HCT116,MS4A6E,0.33,0.63,0.992,AZD6738
HCT116,MS4A8,-1.81,0.035,0.991,AZD6738
HCT116,MSANTD1,0.73,0.766,0.985,AZD6738
HCT116,MSANTD2,1.67,0.952,0.997,AZD6738
HCT116,MSANTD4,-0.4,0.346,1.03,AZD6738
HCT116,MSC,1.42,0.922,0.993,AZD6738
HCT116,MSGN1,-0.34,0.369,1.03,AZD6738
HCT116,MSH2,0.38,0.648,0.991,AZD6738
HCT116,MSH3,0.13,0.553,1,AZD6738
HCT116,MSH4,0.33,0.63,0.992,AZD6738
HCT116,MSH5,0.42,0.662,0.991,AZD6738
HCT116,MSH6,-0.89,0.187,1.08,AZD6738
HCT116,MSI1,0.68,0.75,0.986,AZD6738
HCT116,MSI2,-0.27,0.395,1.02,AZD6738
HCT116,MSL1,-1.53,0.0628,1.06,AZD6738
HCT116,MSL2,-1.33,0.0915,1.07,AZD6738
HCT116,MSL3,-0.71,0.237,1.06,AZD6738
HCT116,MSLN,-0.91,0.183,1.08,AZD6738
HCT116,MSMB,0.37,0.643,0.991,AZD6738
HCT116,MSN,-0.14,0.446,1.02,AZD6738
HCT116,MSR1,-1.41,0.0795,1.08,AZD6738
HCT116,MSRA,0.12,0.549,1,AZD6738
HCT116,MSRB1,2.59,0.995,1,AZD6738
HCT116,MSRB2,2.34,0.99,1,AZD6738
HCT116,MSRB3,0.08,0.532,1,AZD6738
HCT116,MSS51,1.15,0.874,0.987,AZD6738
HCT116,MST1R,-0.88,0.189,1.08,AZD6738
HCT116,MSTN,0.22,0.585,0.999,AZD6738
