Cell_line,GENE,normZ,p-value,FDR,Treatment
MCF10A,VPS52,0.07,0.526,1.01,AZD6738
MCF10A,VPS53,0.37,0.645,1,AZD6738
MCF10A,VPS54,0.15,0.561,1.01,AZD6738
MCF10A,VPS72,1.27,0.897,0.993,AZD6738
MCF10A,VPS8,-1.87,0.0311,0.939,AZD6738
MCF10A,VPS9D1,-0.39,0.35,1.03,AZD6738
MCF10A,VRK1,-0.18,0.428,1.02,AZD6738
MCF10A,VRK2,-1.31,0.0944,1.07,AZD6738
MCF10A,VRK3,-0.46,0.324,1.04,AZD6738
MCF10A,VRTN,-0.49,0.312,1.04,AZD6738
MCF10A,VSIG1,0.34,0.631,1,AZD6738
MCF10A,VSIG10,1.38,0.916,0.993,AZD6738
MCF10A,VSIG10L,2.99,0.999,1,AZD6738
MCF10A,VSIG2,-0.19,0.426,1.02,AZD6738
MCF10A,VSIG4,0.28,0.609,1,AZD6738
MCF10A,VSIG8,-0.26,0.397,1.02,AZD6738
MCF10A,VSNL1,-0.29,0.386,1.02,AZD6738
MCF10A,VSTM1,-0.74,0.231,1.06,AZD6738
MCF10A,VSTM2A,-0.25,0.402,1.02,AZD6738
MCF10A,VSTM2B,0.13,0.552,1.01,AZD6738
MCF10A,VSTM2L,0.55,0.708,0.992,AZD6738
MCF10A,VSTM4,0.85,0.802,0.993,AZD6738
MCF10A,VSTM5,-0.25,0.4,1.02,AZD6738
MCF10A,VSX1,1.19,0.882,0.991,AZD6738
MCF10A,VSX2,-0.17,0.432,1.02,AZD6738
MCF10A,VTA1,-0.43,0.332,1.04,AZD6738
MCF10A,VTI1A,-0.28,0.391,1.02,AZD6738
MCF10A,VWA1,1.81,0.965,0.996,AZD6738
MCF10A,VWA2,0.54,0.706,0.992,AZD6738
MCF10A,VWA3A,0.73,0.767,0.995,AZD6738
MCF10A,VWA3B,-0.33,0.372,1.02,AZD6738
MCF10A,VWA5A,-0.83,0.202,1.06,AZD6738
MCF10A,VWA5B1,-0.6,0.274,1.05,AZD6738
MCF10A,VWA5B2,-1.68,0.0463,0.992,AZD6738
MCF10A,VWA7,0.12,0.548,1.01,AZD6738
MCF10A,VWA8,0.2,0.577,1,AZD6738
MCF10A,VWA9,-1.01,0.157,1.08,AZD6738
MCF10A,VWC2,2.32,0.99,1,AZD6738
MCF10A,VWC2L,-0.97,0.166,1.08,AZD6738
MCF10A,VWCE,-0.19,0.427,1.02,AZD6738
MCF10A,VWDE,0.32,0.626,1,AZD6738
MCF10A,VWF,1.27,0.898,0.993,AZD6738
MCF10A,WAC,-4.5,0.00000333,0.00581,AZD6738
MCF10A,WAPAL,0.18,0.572,1.01,AZD6738
MCF10A,WARS,1.32,0.906,0.993,AZD6738
MCF10A,WARS2,-1.28,0.1,1.07,AZD6738
MCF10A,WAS,0.4,0.655,1,AZD6738
MCF10A,WASF1,-1.07,0.143,1.07,AZD6738
MCF10A,WASF2,0.9,0.815,0.99,AZD6738
MCF10A,WASF3,0.88,0.811,0.99,AZD6738
